,CityID,CityName,StateProvinceID,Location,LatestRecordedPopulation,LastEditedBy,ValidFrom,ValidTo
0,1,Aaronsburg,39,0xE6100000010C07E11B542C73444087C09140035D53C0,613.0,1,2013-01-01 00:00:00,
1,3,Abanda,1,0xE6100000010C4033880FEC8C4040EFBF3A33E66155C0,192.0,1,2013-01-01 00:00:00,
2,4,Abbeville,42,0xE6100000010C79C83956CE164140CCAC4AC7419854C0,5237.0,1,2013-01-01 00:00:00,
3,5,Abbeville,11,0xE6100000010CDE2120BAFBFD3F408F876302A3D354C0,2908.0,1,2013-01-01 00:00:00,
4,6,Abbeville,1,0xE6100000010C9DB3AACA63923F40DEDF4504085055C0,2688.0,1,2013-01-01 00:00:00,
5,7,Abbeville,19,0xE6100000010C340AEEAC82F93D401D67E43D980857C0,12257.0,1,2013-01-01 00:00:00,
6,8,Abbeville,25,0xE6100000010CA797738467404140805AB164336056C0,419.0,1,2013-01-01 00:00:00,
7,9,Abbotsford,52,0xE6100000010CCB2F83312279464030630AD6389456C0,2310.0,1,2013-01-01 00:00:00,
8,10,Abbott,45,0xE6100000010CE45AFE8D87E23F4070C7E589B14458C0,356.0,1,2013-01-01 00:00:00,
9,11,Abbott,4,0xE6100000010CBA089D2166894140D732198E678C57C0,356.0,1,2013-01-01 00:00:00,
10,12,Abbott,32,0xE6100000010C8C529D691D274240625AE55391105AC0,,1,2013-01-01 00:00:00,
11,13,Abbott,49,0xE6100000010CEF63BB31F3B642405125146CED0854C0,356.0,1,2013-01-01 00:00:00,
12,14,Abbott,51,0xE6100000010CF649496AFC754340F6419605931454C0,,1,2013-01-01 00:00:00,
13,15,Abbottsburg,34,0xE6100000010CE126A3CA30424140EF607AB166AE53C0,,1,2013-01-01 00:00:00,
14,16,Abbottstown,39,0xE6100000010C8DEA196778F1434009F59958053F53C0,1011.0,1,2013-01-01 00:00:00,
15,17,Abbyville,17,0xE6100000010C8FB63BB544FC42406257491A128D58C0,87.0,1,2013-01-01 00:00:00,
16,18,Abell,45,0xE6100000010CA8AED74F5AB24140ADC1FBAA5C5D59C0,,1,2013-01-01 00:00:00,
17,19,Abercrombie,35,0xE6100000010CE994EC7D4F3947409F7CD525BE2E58C0,263.0,1,2013-01-01 00:00:00,
18,20,Aberdeen,43,0xE6100000010C08008E3D7BBB46400C642C89229F58C0,26091.0,1,2013-01-01 00:00:00,
19,21,Aberdeen,21,0xE6100000010C30BF2E1E39C143404708EAEF800A53C0,14959.0,1,2013-01-01 00:00:00,
20,22,Aberdeen,50,0xE6100000010C97BC4BF3D87C4740986835C934F45EC0,16896.0,1,2013-01-01 00:00:00,
21,23,Aberdeen,13,0xE6100000010C156E9E8FD7784540B0373124A7355CC0,1994.0,1,2013-01-01 00:00:00,
22,24,Aberdeen,34,0xE6100000010C86713788D69041409D7411957CDB53C0,6350.0,1,2013-01-01 00:00:00,
23,25,Aberdeen,25,0xE6100000010CCDFC0F559DE940400373993FCB2256C0,5612.0,1,2013-01-01 00:00:00,
24,26,Aberdeen,36,0xE6100000010C1025B5ABEB534340C7ECD1C0B4F054C0,1638.0,1,2013-01-01 00:00:00,
25,27,Aberdeen,18,0xE6100000010C0B6366FA80A042408AEA083BA0AB55C0,,1,2013-01-01 00:00:00,
26,28,Aberfoil,1,0xE6100000010C8D94D2D8030940409987A7B2036C55C0,,1,2013-01-01 00:00:00,
27,29,Abernant,1,0xE6100000010C0D00B0952BA54040FB777DE6ACCC55C0,,1,2013-01-01 00:00:00,
28,30,Abernathy,45,0xE6100000010C13AB50EE88EA4040542CC8E0F27559C0,2805.0,1,2013-01-01 00:00:00,
29,31,Abeytas,32,0xE6100000010CFC259820D93B4140219EDB3AEEB35AC0,56.0,1,2013-01-01 00:00:00,
30,32,Abie,28,0xE6100000010C838F1C44C6AA444000BF901FBB3C58C0,69.0,1,2013-01-01 00:00:00,
31,33,Abilene,45,0xE6100000010C2C43C13170394040C37064D4EBEE58C0,117063.0,1,2013-01-01 00:00:00,
32,34,Abilene,17,0xE6100000010CA797738467754340A6530DB1B04D58C0,6844.0,1,2013-01-01 00:00:00,
33,35,Abingdon,14,0xE6100000010CCED60B4FF9664440BAAB0D04B79956C0,3319.0,1,2013-01-01 00:00:00,
34,36,Abingdon,49,0xE6100000010C780DFAD2DB5A42407CF376DF8C7E54C0,8191.0,1,2013-01-01 00:00:00,
35,37,Abingdon,16,0xE6100000010C977B37CC868A444090FC1C7AE60857C0,,1,2013-01-01 00:00:00,
36,38,Abingdon,21,0xE6100000010CBFB854A52DBB4340AD623B29DD1153C0,,1,2013-01-01 00:00:00,
37,39,Abington,39,0xE6100000010C49E06AF8710F444088A130838CC752C0,,1,2013-01-01 00:00:00,
38,40,Abington,22,0xE6100000010C05F060D56A0D454089CC012780BC51C0,15985.0,1,2013-01-01 00:00:00,
39,41,Abiquiu,32,0xE6100000010CF7B182DF861A424044ADC49764945AC0,231.0,1,2013-01-01 00:00:00,
40,42,Abita Springs,19,0xE6100000010CA6CB07A9807A3E4060E811A3678256C0,2365.0,1,2013-01-01 00:00:00,
41,43,Abo,32,0xE6100000010C2BE917DB5A3A414054CFDD0951955AC0,,1,2013-01-01 00:00:00,
42,44,Aboite,15,0xE6100000010C215A2BDA1C804440DEAA90975A5455C0,,1,2013-01-01 00:00:00,
43,45,Abraham,46,0xE6100000010C8439306FC4B24340AD7191D6F32D5CC0,,1,2013-01-01 00:00:00,
44,46,Abram,45,0xE6100000010CA5619DCF25333A409C3CC0EE4F9A58C0,2067.0,1,2013-01-01 00:00:00,
45,47,Abrams,52,0xE6100000010CE8EFEF7DBB6346409FBCD930D40356C0,340.0,1,2013-01-01 00:00:00,
46,48,Absarokee,27,0xE6100000010C3D505DAF9FC2464091FC7733595C5BC0,1150.0,1,2013-01-01 00:00:00,
47,49,Absecon,31,0xE6100000010C0F3B9D75D7B643403C985EACB99F52C0,8411.0,1,2013-01-01 00:00:00,
48,50,Academy,43,0xE6100000010C6426ACE86ABA454016B2A9A91BC558C0,,1,2013-01-01 00:00:00,
49,51,Acampo,5,0xE6100000010C3DCAD2985A164340D5004AE8D3515EC0,341.0,1,2013-01-01 00:00:00,
50,52,Accident,21,0xE6100000010C21904B1C79D0434082E673EE76D453C0,325.0,1,2013-01-01 00:00:00,
51,53,Accokeek,21,0xE6100000010C4D21A17774554340420B64D1CF4153C0,10573.0,1,2013-01-01 00:00:00,
52,54,Accomac,49,0xE6100000010CCE05E4011BDC4240ADDF4C4C97EA52C0,519.0,1,2013-01-01 00:00:00,
53,55,Accord,33,0xE6100000010CB6D1A52490E4444092A52089A88E52C0,562.0,1,2013-01-01 00:00:00,
54,56,Accord,22,0xE6100000010CAA166C7E571645402F3C8ACE8DB851C0,,1,2013-01-01 00:00:00,
55,57,Ace,45,0xE6100000010C0359F4F34B893E4037EAD78CC2B457C0,,1,2013-01-01 00:00:00,
56,58,Aceitunas,40,0xE6100000010CC786C9AF7A713240391B3C5D27C450C0,1436.0,1,2013-01-01 00:00:00,
57,59,Acequia,13,0xE6100000010C0CF3D4D97F5545407AAE4A7D34665CC0,124.0,1,2013-01-01 00:00:00,
58,60,Achille,37,0xE6100000010C452CD5522FEB4040495E0DB84D1A58C0,492.0,1,2013-01-01 00:00:00,
59,61,Achilles,49,0xE6100000010C609D19B3DBA34240F5166AA82C1C53C0,,1,2013-01-01 00:00:00,
60,62,Ackerly,45,0xE6100000010CF66E3D5464434040B2BAD573D26D59C0,220.0,1,2013-01-01 00:00:00,
61,63,Ackerman,25,0xE6100000010CF2182F27B2A740401695C3DD0F4B56C0,1510.0,1,2013-01-01 00:00:00,
62,64,Ackley,16,0xE6100000010C8CDE043AEE464540ADF5EA88684357C0,1589.0,1,2013-01-01 00:00:00,
63,65,Ackworth,16,0xE6100000010C5D972BCDF7AE4440033972EE405E57C0,83.0,1,2013-01-01 00:00:00,
64,66,Acme,50,0xE6100000010C6A2D7189C85B4840FB9FB250218D5EC0,246.0,1,2013-01-01 00:00:00,
65,67,Acme,45,0xE6100000010CDDA5C3F98A284140F3F63130BCF458C0,,1,2013-01-01 00:00:00,
66,68,Acme,53,0xE6100000010CE84D452A8C74464012D08E650BBF5AC0,,1,2013-01-01 00:00:00,
67,69,Acme,19,0xE6100000010CBDD17DEF25493F406407F07181F456C0,,1,2013-01-01 00:00:00,
68,70,Acme,32,0xE6100000010CD135DDFCD0CB4040CDEA1D6E07155AC0,,1,2013-01-01 00:00:00,
69,71,Acoma,29,0xE6100000010C2A690FC52EC642403C6C7DEC098B5CC0,,1,2013-01-01 00:00:00,
70,72,Acomita,32,0xE6100000010CB4A8F4B81487414018C4510397E45AC0,,1,2013-01-01 00:00:00,
71,73,Acorn,49,0xE6100000010C16720058780243409524743C8B2953C0,,1,2013-01-01 00:00:00,
72,74,Acra,33,0xE6100000010CEB5B412ECC27454053324AE18B8352C0,,1,2013-01-01 00:00:00,
73,75,Acree,11,0xE6100000010C87EF0E3A328E3F4033F4F4B6BEFF54C0,,1,2013-01-01 00:00:00,
74,76,Acton,20,0xE6100000010C0FFFFA3262C44540AD399BE939BA51C0,,1,2013-01-01 00:00:00,
75,77,Acton,27,0xE6100000010C0A945EE51AF74640635D818D902B5BC0,,1,2013-01-01 00:00:00,
76,78,Acton,22,0xE6100000010CF401DC87173E4540A4198BA6B3DB51C0,,1,2013-01-01 00:00:00,
77,79,Acton,5,0xE6100000010C7AA86DC3283C41406530EB6A978C5DC0,7596.0,1,2013-01-01 00:00:00,
78,80,Acushnet,22,0xE6100000010CF09B0CD81FD7444046B247A819BA51C0,3073.0,1,2013-01-01 00:00:00,
79,81,Acworth,30,0xE6100000010C2DE7F7A2E29B45404C39BAA5B01252C0,,1,2013-01-01 00:00:00,
80,82,Acworth,11,0xE6100000010C7F9D407D700841401855D0FE512B55C0,20425.0,1,2013-01-01 00:00:00,
81,83,Acy,19,0xE6100000010C409B66CB03383E4088E06EFF80B456C0,,1,2013-01-01 00:00:00,
82,84,Ada,19,0xE6100000010C210B2CDBE2454040675EB301FD4857C0,,1,2013-01-01 00:00:00,
83,85,Ada,52,0xE6100000010C7ACECC823FF04540E210604752F955C0,,1,2013-01-01 00:00:00,
84,86,Ada,17,0xE6100000010C6331A0CD6093434030D406CCE87858C0,100.0,1,2013-01-01 00:00:00,
85,87,Ada,36,0xE6100000010CCBEFD9DF7E624440A45B655CA7F454C0,5952.0,1,2013-01-01 00:00:00,
86,88,Ada,37,0xE6100000010C159C232EA5634140796DA6AAEF2C58C0,16810.0,1,2013-01-01 00:00:00,
87,89,Ada,24,0xE6100000010C48FC8A355CA6474056270C6FFB2058C0,1707.0,1,2013-01-01 00:00:00,
88,90,Adair,16,0xE6100000010C4120E1C50CC0444024F48EAE2DA957C0,781.0,1,2013-01-01 00:00:00,
89,91,Adair,14,0xE6100000010C556419879F354440EB75E679CB9F56C0,210.0,1,2013-01-01 00:00:00,
90,92,Adair,37,0xE6100000010CC8A1A7046938424037332099E3D257C0,790.0,1,2013-01-01 00:00:00,
91,93,Adair Village,38,0xE6100000010CE45993B8D85546408A45C2ADF1CD5EC0,840.0,1,2013-01-01 00:00:00,
92,94,Adairsville,11,0xE6100000010CB7BB62A1312F4140ED985F72C83B55C0,4648.0,1,2013-01-01 00:00:00,
93,95,Adairville,18,0xE6100000010C55185B087255424050E67A3686B655C0,852.0,1,2013-01-01 00:00:00,
94,96,Adak,2,0xE6100000010C713D0AD7A3F04940641E9ECA0E1566C0,326.0,1,2013-01-01 00:00:00,
95,97,Adams,37,0xE6100000010C1B18478D53614240B8BEECF7744659C0,,1,2013-01-01 00:00:00,
96,98,Adams,15,0xE6100000010C878CA262F7B043402769FE98D66355C0,,1,2013-01-01 00:00:00,
97,99,Adams,18,0xE6100000010CA98427F4FA064340572F75464AAD54C0,,1,2013-01-01 00:00:00,
