,SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
0,134,2,5,1.0,4,7290.0,2013-01-02,313.5,47.03,360.53,0.0,2013-01-07,True,4,2013-01-07 09:00:00
1,169,4,5,2.0,4,3898.0,2013-01-02,21732.0,3259.8,24991.8,0.0,2013-01-07,True,4,2013-01-07 09:00:00
2,186,5,5,3.0,4,616.0,2013-01-02,2740.5,411.11,3151.61,0.0,2013-01-07,True,4,2013-01-07 09:00:00
3,215,7,5,4.0,4,3869.0,2013-01-02,42481.2,6372.19,48853.39,0.0,2013-01-07,True,4,2013-01-07 09:00:00
4,224,10,5,5.0,4,4697.0,2013-01-02,35067.5,5260.14,40327.64,0.0,2013-01-07,True,4,2013-01-07 09:00:00
5,230,12,5,6.0,4,1375.0,2013-01-02,5528.5,829.28,6357.78,0.0,2013-01-07,True,4,2013-01-07 09:00:00
6,565,4,5,7.0,4,3261.0,2013-01-03,10000.5,1500.08,11500.58,0.0,2013-01-07,True,4,2013-01-07 09:00:00
7,570,5,5,8.0,4,1762.0,2013-01-03,657.0,98.56,755.56,0.0,2013-01-07,True,4,2013-01-07 09:00:00
8,588,7,5,9.0,4,9301.0,2013-01-03,9281.5,1392.24,10673.74,0.0,2013-01-07,True,4,2013-01-07 09:00:00
9,590,10,5,10.0,4,1853.0,2013-01-03,1037.5,155.63,1193.13,0.0,2013-01-07,True,4,2013-01-07 09:00:00
10,594,12,5,11.0,4,8170.0,2013-01-03,19869.5,2980.43,22849.93,0.0,2013-01-07,True,4,2013-01-07 09:00:00
11,932,4,5,12.0,4,5075.0,2013-01-04,6661.5,999.23,7660.73,0.0,2013-01-07,True,4,2013-01-07 09:00:00
12,935,5,5,13.0,4,134.0,2013-01-04,261.0,39.15,300.15,0.0,2013-01-07,True,4,2013-01-07 09:00:00
13,952,7,5,14.0,4,999.0,2013-01-04,16279.45,2441.92,18721.37,0.0,2013-01-07,True,4,2013-01-07 09:00:00
14,955,10,5,15.0,4,4943.0,2013-01-04,13325.0,1998.75,15323.75,0.0,2013-01-07,True,4,2013-01-07 09:00:00
15,959,12,5,16.0,4,9907.0,2013-01-04,3768.0,565.2,4333.2,0.0,2013-01-07,True,4,2013-01-07 09:00:00
16,1390,4,5,17.0,4,4291.0,2013-01-07,8808.0,1321.2,10129.2,0.0,2013-01-07,True,4,2013-01-07 09:00:00
17,1393,5,5,18.0,4,205.0,2013-01-07,288.0,43.21,331.21,0.0,2013-01-07,True,4,2013-01-07 09:00:00
18,1400,7,5,19.0,4,7476.0,2013-01-07,5230.2,784.53,6014.73,0.0,2013-01-07,True,4,2013-01-07 09:00:00
19,1402,10,5,20.0,4,364.0,2013-01-07,7250.0,1087.5,8337.5,0.0,2013-01-07,True,4,2013-01-07 09:00:00
20,1408,4,5,21.0,4,252.0,2013-01-07,5116.0,767.4,5883.4,0.0,2013-01-07,True,4,2013-01-07 09:00:00
21,1410,5,5,22.0,4,9981.0,2013-01-07,157.5,23.63,181.13,0.0,2013-01-07,True,4,2013-01-07 09:00:00
22,1417,7,5,23.0,4,9410.0,2013-01-07,3639.55,545.93,4185.48,0.0,2013-01-07,True,4,2013-01-07 09:00:00
23,1419,10,5,24.0,4,951.0,2013-01-07,1245.0,186.75,1431.75,0.0,2013-01-07,True,4,2013-01-07 09:00:00
24,1422,12,5,25.0,4,4585.0,2013-01-07,19278.0,2891.7,22169.7,0.0,2013-01-07,True,4,2013-01-07 09:00:00
25,1423,2,7,,4,,2013-01-07,0.0,0.0,-360.53,0.0,2013-01-07,True,4,2013-01-07 09:00:00
26,1424,4,7,,4,,2013-01-07,0.0,0.0,-60165.71,0.0,2013-01-07,True,4,2013-01-07 09:00:00
27,1425,5,7,,4,,2013-01-07,0.0,0.0,-4719.66,0.0,2013-01-07,True,4,2013-01-07 09:00:00
28,1426,7,7,,4,,2013-01-07,0.0,0.0,-88448.71,0.0,2013-01-07,True,4,2013-01-07 09:00:00
29,1427,10,7,,4,,2013-01-07,0.0,0.0,-66613.77,0.0,2013-01-07,True,4,2013-01-07 09:00:00
30,1428,12,7,,4,,2013-01-07,0.0,0.0,-55710.61,0.0,2013-01-07,True,4,2013-01-07 09:00:00
31,1873,4,5,26.0,4,2648.0,2013-01-08,1436.0,215.4,1651.4,0.0,2013-01-14,True,5,2013-01-14 09:00:00
32,1880,5,5,27.0,4,7934.0,2013-01-08,832.5,124.89,957.39,0.0,2013-01-14,True,5,2013-01-14 09:00:00
33,1882,7,5,28.0,4,359.0,2013-01-08,2380.0,357.0,2737.0,0.0,2013-01-14,True,5,2013-01-14 09:00:00
34,1884,10,5,29.0,4,7757.0,2013-01-08,1037.5,155.63,1193.13,0.0,2013-01-14,True,5,2013-01-14 09:00:00
35,1887,12,5,30.0,4,6742.0,2013-01-08,2376.0,356.4,2732.4,0.0,2013-01-14,True,5,2013-01-14 09:00:00
