,StockItemID,QuantityOnHand,BinLocation,LastStocktakeQuantity,LastCostPrice,ReorderLevel,TargetStockLevel,LastEditedBy,LastEditedWhen
0,1,175609,L-1,171341,9.5,20,100,16,2016-05-31 07:00:00
1,2,165538,L-1,161435,9.5,20,100,3,2016-05-31 12:00:00
2,3,253190,L-2,246900,11.25,10,120,3,2016-05-31 12:00:00
3,4,208109,L-3,202964,12.0,5,100,3,2016-05-31 12:00:00
4,5,199064,L-3,194162,12.0,5,100,3,2016-05-31 12:00:00
5,6,196995,L-3,192127,12.0,5,100,3,2016-05-31 12:00:00
6,7,205295,L-3,200201,12.0,5,100,16,2016-05-31 07:00:00
7,8,412277,L-3,401980,88.5,10,200,16,2016-05-31 07:00:00
8,9,192749,L-3,187968,12.0,5,100,3,2016-05-31 12:00:00
9,10,222572,L-3,217048,12.0,5,100,3,2016-05-31 12:00:00
10,11,203148,L-3,198084,12.0,5,100,3,2016-05-31 12:00:00
11,12,200406,L-3,195396,12.0,5,100,3,2016-05-31 12:00:00
12,13,197453,L-3,192553,12.0,5,100,3,2016-05-31 12:00:00
13,14,192358,L-3,187553,12.0,5,100,3,2016-05-31 12:00:00
14,15,398290,L-3,388445,88.5,10,200,16,2016-05-31 07:00:00
15,16,51836,K-9,50541,4.5,15,40,16,2016-05-31 07:00:00
16,17,62428,K-9,60923,4.5,15,40,3,2016-05-31 12:00:00
17,18,89207,K-9,86985,4.5,15,40,16,2016-05-31 07:00:00
18,19,68800,K-9,67153,4.5,15,40,3,2016-05-31 12:00:00
19,20,66722,K-9,65070,4.5,15,40,3,2016-05-31 12:00:00
20,21,68683,K-9,67023,4.5,15,40,3,2016-05-31 12:00:00
21,22,72747,K-9,70913,4.5,15,40,16,2016-05-31 07:00:00
22,23,56283,K-9,54910,4.5,15,40,3,2016-05-31 12:00:00
23,24,57083,K-9,55653,4.5,15,40,3,2016-05-31 12:00:00
24,25,47106,K-9,45926,4.5,15,40,3,2016-05-31 12:00:00
25,26,61071,K-9,59557,4.5,15,40,3,2016-05-31 12:00:00
26,27,47747,K-9,46561,4.5,15,40,16,2016-05-31 07:00:00
27,28,53851,K-9,52451,4.5,15,40,3,2016-05-31 12:00:00
28,29,80978,K-9,78955,4.5,15,40,16,2016-05-31 07:00:00
29,30,49248,K-9,48000,4.5,15,40,3,2016-05-31 12:00:00
30,31,79604,K-9,77666,4.5,15,40,3,2016-05-31 12:00:00
31,32,47512,K-9,46276,4.5,15,40,3,2016-05-31 12:00:00
32,33,60005,K-9,58527,4.5,15,40,3,2016-05-31 12:00:00
33,34,65583,K-9,63953,4.5,15,40,3,2016-05-31 12:00:00
34,35,75803,K-9,74021,4.5,15,40,3,2016-05-31 12:00:00
35,36,49459,K-9,48215,4.5,15,40,16,2016-05-31 07:00:00
36,37,61318,K-9,59755,4.5,15,40,16,2016-05-31 07:00:00
37,38,58431,K-9,57002,4.5,15,40,16,2016-05-31 07:00:00
38,39,66353,K-9,64705,4.5,15,40,3,2016-05-31 12:00:00
39,40,82969,K-9,80939,4.5,15,40,3,2016-05-31 12:00:00
40,41,79138,K-9,77229,4.5,15,40,16,2016-05-31 07:00:00
41,42,61075,K-9,59525,4.5,15,40,3,2016-05-31 12:00:00
42,43,59174,K-9,57721,4.5,15,40,3,2016-05-31 12:00:00
43,44,76861,K-9,74947,4.5,15,40,16,2016-05-31 07:00:00
44,45,54430,K-9,53140,4.5,15,40,3,2016-05-31 12:00:00
45,46,85243,K-9,83222,4.5,15,40,3,2016-05-31 12:00:00
46,47,57652,K-9,56273,4.5,15,40,3,2016-05-31 12:00:00
47,48,65779,K-9,64176,4.5,15,40,3,2016-05-31 12:00:00
48,49,51545,K-9,50253,4.5,15,40,3,2016-05-31 12:00:00
49,50,81085,K-9,79076,4.5,15,40,16,2016-05-31 07:00:00
50,51,47656,K-9,46445,4.5,15,40,3,2016-05-31 12:00:00
51,52,51289,K-9,49996,4.5,15,40,3,2016-05-31 12:00:00
52,53,58061,K-9,56601,4.5,15,40,3,2016-05-31 12:00:00
53,54,95786,K-9,93497,4.5,15,40,16,2016-05-31 07:00:00
54,55,83130,K-9,81127,4.5,15,40,16,2016-05-31 07:00:00
55,56,59403,K-9,57960,4.5,15,40,3,2016-05-31 12:00:00
56,57,72743,K-9,70989,4.5,15,40,3,2016-05-31 12:00:00
57,58,174043,J-12,169781,12.5,20,100,3,2016-05-31 12:00:00
58,59,190946,J-12,186270,12.5,20,100,3,2016-05-31 12:00:00
59,60,165484,J-12,161392,12.5,20,100,3,2016-05-31 12:00:00
60,61,163823,J-12,159729,12.5,20,100,3,2016-05-31 12:00:00
61,62,180856,J-12,176339,12.5,20,100,3,2016-05-31 12:00:00
62,63,190886,J-12,186159,12.5,20,100,3,2016-05-31 12:00:00
63,64,213248,J-12,208012,15.0,20,100,16,2016-05-31 07:00:00
64,65,164183,J-12,160108,15.0,20,100,16,2016-05-31 07:00:00
65,66,172525,J-12,168159,15.5,20,100,3,2016-05-31 12:00:00
66,67,93588,J-13,91282,145.0,10,50,3,2016-05-31 12:00:00
67,68,90953,J-13,88735,145.0,10,50,3,2016-05-31 12:00:00
68,69,96791,J-13,94441,145.0,10,50,3,2016-05-31 12:00:00
69,70,83287,J-13,81218,145.0,10,50,16,2016-05-31 07:00:00
70,71,112020,J-13,109296,145.0,10,50,16,2016-05-31 07:00:00
71,72,116147,J-13,113273,145.0,10,50,16,2016-05-31 07:00:00
72,73,106477,J-13,103789,155.0,10,50,3,2016-05-31 12:00:00
73,74,80341,J-13,78368,155.0,10,50,3,2016-05-31 12:00:00
74,75,80823,J-14,78776,205.0,10,50,3,2016-05-31 12:00:00
75,76,129929,K-1,127169,7.0,5,20,3,2016-05-31 12:00:00
76,77,27,K-1,15,7.0,5,20,16,2016-05-31 07:00:00
77,78,16,K-1,28,7.0,5,20,3,2016-05-31 12:00:00
78,79,24895,K-1,24871,7.0,5,20,16,2016-05-31 07:00:00
79,80,20,K-1,8,7.0,5,20,3,2016-05-31 12:00:00
80,81,106773,K-1,103977,7.0,5,20,3,2016-05-31 12:00:00
81,82,6706,K-1,7254,7.5,5,20,3,2016-05-31 12:00:00
82,83,224185,K-1,218581,7.5,5,20,3,2016-05-31 12:00:00
83,84,5439,K-1,5871,8.0,5,20,16,2016-05-31 07:00:00
84,85,56210,K-1,54554,8.0,5,20,16,2016-05-31 07:00:00
85,86,3,K-1,15,8.0,5,20,3,2016-05-31 12:00:00
86,87,53392,K-1,52048,8.0,5,20,3,2016-05-31 12:00:00
87,88,148350,K-1,145218,8.5,5,20,3,2016-05-31 12:00:00
88,89,81703,K-2,79687,7.0,5,20,3,2016-05-31 12:00:00
89,90,75663,K-2,74523,7.0,5,20,3,2016-05-31 12:00:00
90,91,76373,K-2,75125,7.0,5,20,3,2016-05-31 12:00:00
91,92,82253,K-2,79805,7.0,5,20,3,2016-05-31 12:00:00
92,93,277914,K-2,271398,7.0,5,20,16,2016-05-31 07:00:00
93,94,157255,K-2,153163,7.0,5,20,3,2016-05-31 12:00:00
94,95,48,K-2,12,7.5,5,20,16,2016-05-31 07:00:00
95,96,402445,K-2,392305,7.5,5,20,3,2016-05-31 12:00:00
96,97,525771,K-2,512667,8.0,5,20,3,2016-05-31 12:00:00
97,98,25,K-2,1,8.0,5,20,16,2016-05-31 07:00:00
98,99,282132,K-2,275232,8.0,5,20,3,2016-05-31 12:00:00
99,100,277863,K-2,270723,8.0,5,20,16,2016-05-31 07:00:00
100,101,51036,K-2,50232,8.5,5,20,16,2016-05-31 07:00:00
101,102,6702,K-3,6584,17.0,5,10,3,2016-05-31 12:00:00
102,103,13020,K-3,12699,17.0,5,10,16,2016-05-31 07:00:00
103,104,14596,K-3,14233,17.0,5,10,16,2016-05-31 07:00:00
104,105,23213,K-3,22601,17.0,5,10,16,2016-05-31 07:00:00
105,106,10874,K-3,10628,17.0,5,10,3,2016-05-31 12:00:00
106,107,10843,K-4,10568,19.0,5,10,16,2016-05-31 07:00:00
107,108,6342,K-4,6229,19.0,5,10,3,2016-05-31 12:00:00
108,109,27052,K-4,26392,19.0,5,10,3,2016-05-31 12:00:00
109,110,19426,K-4,19004,19.0,5,10,3,2016-05-31 12:00:00
110,111,8498,K-4,8304,22.0,5,10,3,2016-05-31 12:00:00
111,112,11076,K-4,10807,22.0,5,10,3,2016-05-31 12:00:00
112,113,7057,K-4,6865,22.0,5,10,3,2016-05-31 12:00:00
113,114,6971,K-4,6763,22.0,5,10,16,2016-05-31 07:00:00
114,115,16909,K-4,16517,24.0,5,10,3,2016-05-31 12:00:00
115,116,10988,K-4,10689,24.0,5,10,3,2016-05-31 12:00:00
116,117,14824,K-4,14434,24.0,5,10,3,2016-05-31 12:00:00
117,118,58218,K-5,56838,8.0,10,30,3,2016-05-31 12:00:00
118,119,49638,K-5,48459,8.0,10,30,16,2016-05-31 07:00:00
119,120,68104,K-5,66446,8.0,10,30,3,2016-05-31 12:00:00
120,121,39597,K-5,38679,8.5,10,30,3,2016-05-31 12:00:00
121,122,38905,K-5,37924,8.0,10,30,3,2016-05-31 12:00:00
122,123,45839,K-5,44709,8.0,10,30,3,2016-05-31 12:00:00
123,124,40953,K-5,39935,8.0,10,30,3,2016-05-31 12:00:00
124,125,39732,K-5,38726,8.5,10,30,3,2016-05-31 12:00:00
